ID_contrato,Referencia,Ano,Valor_pg,ID_empenho
2,2021-07-01,2021,1008.64,1
2,2021-08-01,2021,4028.66,1
2,2021-09-01,2021,4064.3,1
2,2021-10-01,2021,4064.3,1
2,2021-11-01,2021,4064.74,1
2,2021-12-01,2021,4084.54,1
2,2022-01-01,2022,4064.3,1
2,2022-02-01,2022,4064.3,1
2,2022-03-01,2022,4364.78,1
2,2022-04-01,2022,4824.69,1
2,2022-05-01,2022,4064.3,1
2,2022-06-01,2022,6585.56,1
2,2022-07-01,2022,4850.59,1
2,2022-08-01,2022,4078.99,1
2,2022-09-01,2022,4342.62,2
2,2022-10-01,2022,4299.91,2
2,2022-11-01,2022,4064.3,2
2,2022-12-01,2022,4307.39,2
2,2023-01-01,2023,4064.3,2
2,2023-02-01,2023,4064.3,3
2,2023-03-01,2023,4067.96,3
2,2023-04-01,2023,4453.48,3
2,2023-05-01,2023,5409.48,3
2,2023-06-01,2023,4078.02,3
2,2023-07-01,2023,4806.45,3
2,2023-08-01,2023,4299.55,3
2,2023-09-01,2023,4050.13,3
2,2023-10-01,2023,3591.84,3
2,2023-11-01,2023,4161.33,4
2,2023-11-01,2023,222.22,4
3,2023-11-01,2023,783.78,4
3,2023-12-01,2023,664.8,4
3,2023-12-01,2023,2346.67,4
3,2024-01-01,2024,670.6,4
3,2024-01-01,2024,2365.44,4
3,2024-02-01,2024,678,5
3,2024-02-01,2024,2395.61,5
3,2024-03-01,2024,678.8,5
3,2024-03-01,2024,2395.61,5
3,2024-04-01,2024,678.8,5
3,2024-04-01,2024,3045.62,5
3,2024-05-01,2024,678.8,6
3,2024-05-01,2024,3888.33,6
3,2024-06-01,2024,678.8,6
3,2024-06-01,2024,3368.61,6
3,2024-07-01,2024,678.8,6
3,2024-07-01,2024,3145.81,6
3,2024-08-01,2024,678.801,6
3,2024-08-01,2024,3145.81,6
3,2024-09-01,2024,678.8,6
3,2024-09-01,2024,3075.91,6
3,2024-10-01,2024,678.98,6
3,2024-10-01,2024,3238.62,6
3,2024-11-01,2024,678.8,6
3,2024-11-01,2024,3807.47,6
3,2024-12-01,2024,664.8,8
3,2024-12-01,2024,3028.81,8
3,2025-01-01,2025,664.8,8
3,2025-01-01,2025,3686.67,8
3,2025-02-01,2025,664.8,8
3,2025-02-01,2025,3030.04,8
3,2025-03-01,2025,664.8,8
3,2025-03-01,2025,3027.07,8
